sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:auto_concept_id_equivalence,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
2113H,"Benign neoplasm of other parts of digestive system, Colon[TUMOR CARCINOIDES  COLI]",0,77234,0.45,APPROVED,NARROWER,Javier,1642756738661,77234,Benign neoplasm of colon,Condition,MAPS_TO,,<auto>,1642598938654,,2000401894,5-char ICD9fi,Condition,1970-01-01,2099-12-31,211,,parent_match,TUMOR CARCINOIDES  COLI,,2025-06-30 | conceptName changed from Neoplasm of digestive system to Benign neoplasm of colon
6801A,"Carbuncle and furuncle, Neck",11,36715557,0.67,APPROVED,EQUIVALENT,Javier,1642756805650,36715557,Pyogenic infection of skin and subcutaneous tissues caused by bacterium,Condition,MAPS_TO,,<auto>,1642598938999,,2000405371,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,unique_parent_match,KAULAPAISE,,2025-06-30 | conceptName changed from Carbuncle of neck to Pyogenic infection of skin and subcutaneous tissues caused by bacterium
4111D,"Other acute and subacute forms of ischaemic heart disease, Intermediate coronary syndrome[PITKITTYNYT ANGINA PECTORIS -KOHTAUS,EMBOLUS]",0,315296,0.38,APPROVED,NARROWER,Javier,1642756738661,315296,Preinfarction syndrome,Condition,MAPS_TO,,<auto>,1642598940187,,2000403581,5-char ICD9fi,Condition,1970-01-01,2099-12-31,411,,parent_match,"PITKITTYNYT ANGINA PECTORIS -KOHTAUS,EMBOLUS",,2025-06-30 | conceptName changed from Subacute ischemic heart disease to Preinfarction syndrome
160,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses",0,4095442,1,APPROVED,EQUAL,Javier,1642756146926,4095442,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses",Condition,MAPS_TO,,<auto>,1642598940574,,2000401236,3-char ICD9fi,Condition,1970-01-01,2099-12-31,160-165,,full_match,"NEOPL MALIG NAS, CAVIT NAS, AUR MED ET SIN ACCES",,
5581A,"Other non-infective gastro-enteritis and colitis, Gastro-enteritis and colitis due to radiation",0,4043371,0.61,APPROVED,EQUIVALENT,Javier,1642756805650,4043371,Inflammatory disorder of digestive tract,Condition,MAPS_TO,,<auto>,1642598940972,,2000404418,5-char ICD9fi,Condition,1970-01-01,2099-12-31,558,,unique_parent_match,SÄTEILYN AIHEUTTAMA SUOLISAIRAUS,,2025-06-30 | conceptName changed from Noninfective enteritis and colitis to Inflammatory disorder of digestive tract | 2025-03-27 | conceptName changed from Non-infective enteritis and colitis to Noninfective enteritis and colitis
6802A,"Carbuncle and furuncle, Trunk",21,36715557,0.71,APPROVED,EQUIVALENT,Javier,1642756805650,36715557,Pyogenic infection of skin and subcutaneous tissues caused by bacterium,Condition,MAPS_TO,,<auto>,1642598940983,,2000405372,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,unique_parent_match,VARTALOPAISE,,2025-06-30 | conceptName changed from Carbuncle of trunk to Pyogenic infection of skin and subcutaneous tissues caused by bacterium
7483C,"Congenital anomalies of respiratory system, Other anomalies of larynx, trachea and bronchus[TRACHEOMALACIA]",26,4173657,0.63,APPROVED,NARROWER,Javier,1642756738661,4173657,Congenital malformation of the respiratory system,Condition,MAPS_TO,,<auto>,1642598941410,,2000406390,5-char ICD9fi,Condition,1970-01-01,2099-12-31,748,,parent_match,TRACHEOMALACIA,,"2025-06-30 | conceptName changed from Congenital stenosis of larynx, trachea and bronchus to Congenital malformation of the respiratory system"
5324C,"Duodenal ulcer, Chronic or unspecified with haemorrhage[DUODENITIS ACUTA EROSIVANS ,PERFOROITUNUT]",0,4232181,0.51,APPROVED,NARROWER,Javier,1642756738661,4232181,Chronic duodenal ulcer with hemorrhage,Condition,MAPS_TO,,<auto>,1642598942548,,2000404272,5-char ICD9fi,Condition,1970-01-01,2099-12-31,532,,parent_match,"DUODENITIS ACUTA EROSIVANS ,PERFOROITUNUT",,2025-06-30 | conceptName changed from Chronic duodenal ulcer with hemorrhage AND perforation to Chronic duodenal ulcer with hemorrhage
2113K,"Benign neoplasm of other parts of digestive system, Colon[ADENOMATOSIS FAMILIARIS COLI]",0,77234,0.49,APPROVED,NARROWER,Javier,1642756738661,77234,Benign neoplasm of colon,Condition,MAPS_TO,,<auto>,1642598942882,,2000401895,5-char ICD9fi,Condition,1970-01-01,2099-12-31,211,,parent_match,ADENOMATOSIS FAMILIARIS COLI,,2025-06-30 | conceptName changed from Neoplasm of digestive system to Benign neoplasm of colon
6803A,"Carbuncle and furuncle, Upper arm and forearm",0,36715557,0.8,APPROVED,EQUIVALENT,Javier,1642756805650,36715557,Pyogenic infection of skin and subcutaneous tissues caused by bacterium,Condition,MAPS_TO,,<auto>,1642598943776,,2000405373,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,unique_parent_match,CARBUNCULUS ANTEBRACHII SIVE BRACHII,,2025-06-30 | conceptName changed from Carbuncle of upper arm and forearm to Pyogenic infection of skin and subcutaneous tissues caused by bacterium
1600A,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses, Nasal cavities",0,438367,0.99,APPROVED,EQUIVALENT,Javier,1642756805650,438367,Primary malignant neoplasm of nasal cavity,Condition,MAPS_TO,,<auto>,1642598944487,,2000401237,5-char ICD9fi,Condition,1970-01-01,2099-12-31,160,,unique_parent_match,NEOPL MALIG NASI ET CAVITATUM NASI,,"2025-06-30 | conceptName changed from Malignant neoplasm of nasal cavities, middle ear and accessory sinuses to Primary malignant neoplasm of nasal cavity"
9723A,"Poisoning by agents primarily affecting the cardiovascular system, Ganglion-blocking agents",0,443198,0.64,APPROVED,EQUIVALENT,Javier,1642756805650,443198,Ganglion-blocker poisoning,Condition,MAPS_TO,,<auto>,1642598944579,,2000408590,5-char ICD9fi,Condition,1970-01-01,2099-12-31,972,,unique_parent_match,MYRKYTYS:GANGLIONSALPAAJAT,,
4111E,"Other acute and subacute forms of ischaemic heart disease, Intermediate coronary syndrome[PITKITTYNYT ANGINA PECTORIS -KOHTAUS,MUU TUKOS]",0,315296,0.37,APPROVED,NARROWER,Javier,1642756738661,315296,Preinfarction syndrome,Condition,MAPS_TO,,<auto>,1642598946400,,2000403582,5-char ICD9fi,Condition,1970-01-01,2099-12-31,411,,parent_match,"PITKITTYNYT ANGINA PECTORIS -KOHTAUS,MUU TUKOS",,2025-06-30 | conceptName changed from Subacute ischemic heart disease to Preinfarction syndrome
7483D,"Congenital anomalies of respiratory system, Other anomalies of larynx, trachea and bronchus[TRACHEOSTENOSIS]",0,4173657,0.68,APPROVED,NARROWER,Javier,1642756738661,4173657,Congenital malformation of the respiratory system,Condition,MAPS_TO,,<auto>,1642598946438,,2000406391,5-char ICD9fi,Condition,1970-01-01,2099-12-31,748,,parent_match,TRACHEOSTENOSIS,,"2025-06-30 | conceptName changed from Congenital stenosis of larynx, trachea and bronchus to Congenital malformation of the respiratory system"
5324D,"Duodenal ulcer, Chronic or unspecified with haemorrhage[DUODENITIS ACUTA EROSIVANS ,PENETROITUNUT]",0,4232181,0.5,APPROVED,NARROWER,Javier,1642756738661,4232181,Chronic duodenal ulcer with hemorrhage,Condition,MAPS_TO,,<auto>,1642598946440,,2000404273,5-char ICD9fi,Condition,1970-01-01,2099-12-31,532,,parent_match,"DUODENITIS ACUTA EROSIVANS ,PENETROITUNUT",,
6804A,"Carbuncle and furuncle, Hand",0,77635,0.65,APPROVED,EQUIVALENT,Javier,1642756805650,77635,Disorder of hand,Condition,MAPS_TO,,<auto>,1642598946471,,2000405374,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,unique_parent_match,CARBUNCULUS MANUS,,2025-06-30 | conceptName changed from Carbuncle of hand to Disorder of hand
2113X,"Benign neoplasm of other parts of digestive system, Colon[NEOPLASMA BENIGNUM ALIUD COLI]",25,77234,0.5,APPROVED,NARROWER,Javier,1642756738661,77234,Benign neoplasm of colon,Condition,MAPS_TO,,<auto>,1642598946875,,2000401896,5-char ICD9fi,Condition,1970-01-01,2099-12-31,211,,parent_match,NEOPLASMA BENIGNUM ALIUD COLI,,2025-06-30 | conceptName changed from Neoplasm of digestive system to Benign neoplasm of colon
5582A,"Other non-infective gastro-enteritis and colitis, Toxic gastro-enteritis and colitis",0,4043371,0.66,APPROVED,EQUIVALENT,Javier,1642756805650,4043371,Inflammatory disorder of digestive tract,Condition,MAPS_TO,,<auto>,1642598947680,,2000404419,5-char ICD9fi,Condition,1970-01-01,2099-12-31,558,,unique_parent_match,TOKSINEN SUOLISAIRAUS,,2025-06-30 | conceptName changed from Noninfective enteritis and colitis to Inflammatory disorder of digestive tract | 2025-03-27 | conceptName changed from Non-infective enteritis and colitis to Noninfective enteritis and colitis
6805A,"Carbuncle and furuncle, Buttock",24,44784106,0.71,APPROVED,EQUIVALENT,Javier,1642756805650,44784106,Disorder of pelvic girdle,Condition,MAPS_TO,,<auto>,1642598948615,,2000405375,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,unique_parent_match,CARBUNCULUS REGIONIS GLUTEALIS,,2025-06-30 | conceptName changed from Carbuncle of buttock to Disorder of pelvic girdle
1601A,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses, Auditory tube, middle ear and mastoid air cells",0,377229,0.83,APPROVED,EQUIVALENT,Javier,1642756805650,377229,"Malignant neoplasm of auditory tube, middle ear and mastoid air cells",Condition,MAPS_TO,,<auto>,1642598949756,,2000401238,5-char ICD9fi,Condition,1970-01-01,2099-12-31,160,,unique_parent_match,"NEOPL MALIG TUB AUDIT, AURIS MED ET CAVIT PROC MAST",,
5324E,"Duodenal ulcer, Chronic or unspecified with haemorrhage[DUODENITIS ACUTA EROSIVANS ,OBSTRUKTIO]",0,4232181,0.49,APPROVED,NARROWER,Javier,1642756738661,4232181,Chronic duodenal ulcer with hemorrhage,Condition,MAPS_TO,,<auto>,1642598950364,,2000404274,5-char ICD9fi,Condition,1970-01-01,2099-12-31,532,,parent_match,"DUODENITIS ACUTA EROSIVANS ,OBSTRUKTIO",,
5583A,Other non-infective gastro-enteritis and colitis[ALLERGINEN SUOLISAIRAUS],40,4043371,0.54,APPROVED,NARROWER,Javier,1642756721361,4043371,Inflammatory disorder of digestive tract,Condition,MAPS_TO,,<auto>,1642598951634,,2000404420,5-char ICD9fi,Condition,1970-01-01,2099-12-31,558,,grandparent_match,ALLERGINEN SUOLISAIRAUS,,2025-06-30 | conceptName changed from Noninfective enteritis and colitis to Inflammatory disorder of digestive tract | 2025-03-27 | conceptName changed from Non-infective enteritis and colitis to Noninfective enteritis and colitis
7483E,"Congenital anomalies of respiratory system, Other anomalies of larynx, trachea and bronchus[TRACHEOESOFAGEAL CLEFT]",0,4173657,0.58,APPROVED,NARROWER,Javier,1642756738661,4173657,Congenital malformation of the respiratory system,Condition,MAPS_TO,,<auto>,1642598951779,,2000406392,5-char ICD9fi,Condition,1970-01-01,2099-12-31,748,,parent_match,TRACHEOESOFAGEAL CLEFT,,"2025-06-30 | conceptName changed from Congenital stenosis of larynx, trachea and bronchus to Congenital malformation of the respiratory system"
2114A,"Benign neoplasm of other parts of digestive system, Rectum and anal canal[ADENOMA VILLOSUM  RECTI ET CANALIS ANALIS]",13,434303,0.46,APPROVED,NARROWER,Javier,1642756738661,434303,Benign neoplasm of rectum and anal canal,Condition,MAPS_TO,,<auto>,1642598951962,,2000401897,5-char ICD9fi,Condition,1970-01-01,2099-12-31,211,,parent_match,ADENOMA VILLOSUM  RECTI ET CANALIS ANALIS,,
4111X,"Other acute and subacute forms of ischaemic heart disease, Intermediate coronary syndrome[PITKITTYNYT ANGINA PECTORIS -KOHTAUS,MÄÄRITTELEMÄT]",717,315296,0.35,APPROVED,NARROWER,Javier,1642756738661,315296,Preinfarction syndrome,Condition,MAPS_TO,,<auto>,1642598952581,,2000403583,5-char ICD9fi,Condition,1970-01-01,2099-12-31,411,,parent_match,"PITKITTYNYT ANGINA PECTORIS -KOHTAUS,MÄÄRITTELEMÄT",,2025-06-30 | conceptName changed from Subacute ischemic heart disease to Preinfarction syndrome
7090G,"Other disorders of skin and subcutaneous tissue, Dyschromia[MELANODERMA]",0,135030,0.62,APPROVED,NARROWER,Javier,1642756738661,135030,Discoloration of skin,Condition,MAPS_TO,,<auto>,1642598953178,,2000405677,5-char ICD9fi,Condition,1970-01-01,2099-12-31,709,,parent_match,MELANODERMA,,2025-06-30 | conceptName changed from Disorder of skin and/or subcutaneous tissue to Discoloration of skin
4511A,"Phlebitis and thrombophlebitis, Of deep vessels of lower extremities",775,4096099,0.79,APPROVED,EQUIVALENT,Javier,1642756805650,4096099,Phlebitis of deep veins of lower extremity,Condition,MAPS_TO,,<auto>,1642598953736,,2000403822,5-char ICD9fi,Condition,1970-01-01,2099-12-31,451,,unique_parent_match,PHLEBITIS/THROMBOPHLEB. PROFUNDA EXTREM. INFERIORUM,,2025-06-30 | conceptName changed from Thrombophlebitis of deep veins of lower extremity to Phlebitis of deep veins of lower extremity
1602A,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses, Maxillary sinus",0,137800,0.95,APPROVED,EQUIVALENT,Javier,1642756805650,137800,Primary malignant neoplasm of maxillary sinus,Condition,MAPS_TO,,<auto>,1642598954063,,2000401239,5-char ICD9fi,Condition,1970-01-01,2099-12-31,160,,unique_parent_match,NEOPLASMA MALIGNUM SINUS MAXILLARIS,,"2025-06-30 | conceptName changed from Malignant neoplasm of nasal cavities, middle ear and accessory sinuses to Primary malignant neoplasm of maxillary sinus"
5584A,Other non-infective gastro-enteritis and colitis[LÄÄKKEEN AIHEUTTAMA SUOLISAIRAUS],56,4043371,0.41,APPROVED,NARROWER,Javier,1642756721361,4043371,Inflammatory disorder of digestive tract,Condition,MAPS_TO,,<auto>,1642598955292,,2000404421,5-char ICD9fi,Condition,1970-01-01,2099-12-31,558,,grandparent_match,LÄÄKKEEN AIHEUTTAMA SUOLISAIRAUS,,2025-06-30 | conceptName changed from Noninfective enteritis and colitis to Inflammatory disorder of digestive tract | 2025-03-27 | conceptName changed from Non-infective enteritis and colitis to Noninfective enteritis and colitis
4112A,"Other acute and subacute forms of ischaemic heart disease[SYDÄNPYSÄHDYS ILMAN INFARKTIA,EI AHTAUMAA]",0,4185932,0.36,APPROVED,NARROWER,Javier,1642756721361,4185932,Ischemic heart disease,Condition,MAPS_TO,,<auto>,1642598956087,,2000403584,5-char ICD9fi,Condition,1970-01-01,2099-12-31,411,,grandparent_match,"SYDÄNPYSÄHDYS ILMAN INFARKTIA,EI AHTAUMAA",,2025-06-30 | conceptName changed from Subacute ischemic heart disease to Ischemic heart disease
4512A,"Phlebitis and thrombophlebitis, Of lower extremities, unspecified",24,441039,0.76,APPROVED,EQUIVALENT,Javier,1642756805650,441039,Phlebitis of lower limb vein,Condition,MAPS_TO,,<auto>,1642598956687,,2000403823,5-char ICD9fi,Condition,1970-01-01,2099-12-31,451,,unique_parent_match,PHLEBITIS/THROMBOPHLEBITIS NUD EXTREM. INFERIORUM,,2025-06-30 | conceptName changed from Thrombophlebitis of lower extremities to Phlebitis of lower limb vein
7090H,"Other disorders of skin and subcutaneous tissue, Dyschromia[TATOVATHIO]",13,135030,0.6,APPROVED,NARROWER,Javier,1642756738661,135030,Discoloration of skin,Condition,MAPS_TO,,<auto>,1642598956779,,2000405678,5-char ICD9fi,Condition,1970-01-01,2099-12-31,709,,parent_match,TATOVATHIO,,2025-06-30 | conceptName changed from Disorder of skin and/or subcutaneous tissue to Discoloration of skin
7483F,"Congenital anomalies of respiratory system, Other anomalies of larynx, trachea and bronchus[ABNORMAL ORIGINAL BRONCHUS]",0,4173657,0.61,APPROVED,NARROWER,Javier,1642756738661,4173657,Congenital malformation of the respiratory system,Condition,MAPS_TO,,<auto>,1642598957002,,2000406393,5-char ICD9fi,Condition,1970-01-01,2099-12-31,748,,parent_match,ABNORMAL ORIGINAL BRONCHUS,,"2025-06-30 | conceptName changed from Congenital stenosis of larynx, trachea and bronchus to Congenital malformation of the respiratory system"
2114B,"Benign neoplasm of other parts of digestive system, Rectum and anal canal[ADENOMA TUBULOVILLOSUM RECTI ET CANALIS ANALIS]",13,434303,0.47,APPROVED,NARROWER,Javier,1642756738661,434303,Benign neoplasm of rectum and anal canal,Condition,MAPS_TO,,<auto>,1642598957156,,2000401898,5-char ICD9fi,Condition,1970-01-01,2099-12-31,211,,parent_match,ADENOMA TUBULOVILLOSUM RECTI ET CANALIS ANALIS,,
1603A,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses, Ethmoidal sinus",0,140046,0.9,APPROVED,EQUIVALENT,Javier,1642756805650,140046,Primary malignant neoplasm of ethmoidal sinus,Condition,MAPS_TO,,<auto>,1642598957815,,2000401240,5-char ICD9fi,Condition,1970-01-01,2099-12-31,160,,unique_parent_match,NEOPLASMA MALIGNUM SINUS ETHMOIDALIS,,"2025-06-30 | conceptName changed from Malignant neoplasm of nasal cavities, middle ear and accessory sinuses to Primary malignant neoplasm of ethmoidal sinus"
5585A,Other non-infective gastro-enteritis and colitis[ILEITIS TERMINALIS ACUTA],42,4043371,0.56,APPROVED,NARROWER,Javier,1642756721361,4043371,Inflammatory disorder of digestive tract,Condition,MAPS_TO,,<auto>,1642598959279,,2000404422,5-char ICD9fi,Condition,1970-01-01,2099-12-31,558,,grandparent_match,ILEITIS TERMINALIS ACUTA,,2025-06-30 | conceptName changed from Noninfective enteritis and colitis to Inflammatory disorder of digestive tract | 2025-03-27 | conceptName changed from Non-infective enteritis and colitis to Noninfective enteritis and colitis
4112B,"Other acute and subacute forms of ischaemic heart disease[SYDÄNPYSÄHDYS ILMAN INFARKTIA,AHTAUTUNUT]",0,4185932,0.36,APPROVED,NARROWER,Javier,1642756721361,4185932,Ischemic heart disease,Condition,MAPS_TO,,<auto>,1642598959667,,2000403585,5-char ICD9fi,Condition,1970-01-01,2099-12-31,411,,grandparent_match,"SYDÄNPYSÄHDYS ILMAN INFARKTIA,AHTAUTUNUT",,2025-06-30 | conceptName changed from Subacute ischemic heart disease to Ischemic heart disease
7090X,"Other disorders of skin and subcutaneous tissue, Dyschromia[DYSCHROMIA ALIA DEFINITA SEU NUD]",0,135030,0.54,APPROVED,NARROWER,Javier,1642756738661,135030,Discoloration of skin,Condition,MAPS_TO,,<auto>,1642598961621,,2000405679,5-char ICD9fi,Condition,1970-01-01,2099-12-31,709,,parent_match,DYSCHROMIA ALIA DEFINITA SEU NUD,,2025-06-30 | conceptName changed from Disorder of skin and/or subcutaneous tissue to Discoloration of skin
5988X,"Urethral stricture, Other specified causes of urethral stricture",43,195590,0.44,APPROVED,EQUIVALENT,Javier,1642756805650,195590,Urethral stricture,Condition,MAPS_TO,,<auto>,1642598961876,,2000404707,5-char ICD9fi,Condition,1970-01-01,2099-12-31,598,,unique_parent_match,STRICTURA URETHRAE ALIA DEFINITA,,2025-06-30 | conceptName changed from Gastrinoma of other specified parts of pancreas to Urethral stricture
1604A,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses, Frontal sinus",0,132258,0.95,APPROVED,EQUIVALENT,Javier,1642756805650,132258,Primary malignant neoplasm of frontal sinus,Condition,MAPS_TO,,<auto>,1642598962211,,2000401241,5-char ICD9fi,Condition,1970-01-01,2099-12-31,160,,unique_parent_match,NEOPLASMA MALIGNUM SINUS FRONTALIS,,"2025-06-30 | conceptName changed from Malignant neoplasm of nasal cavities, middle ear and accessory sinuses to Primary malignant neoplasm of frontal sinus"
2114C,"Benign neoplasm of other parts of digestive system, Rectum and anal canal[ADENOMA TUBULARE RECTI ET CANALIS ANALIS]",24,434303,0.49,APPROVED,NARROWER,Javier,1642756738661,434303,Benign neoplasm of rectum and anal canal,Condition,MAPS_TO,,<auto>,1642598962385,,2000401899,5-char ICD9fi,Condition,1970-01-01,2099-12-31,211,,parent_match,ADENOMA TUBULARE RECTI ET CANALIS ANALIS,,
452,Portal vein thrombosis,0,199837,1,APPROVED,EQUAL,Javier,1642756146926,199837,Portal vein thrombosis,Condition,MAPS_TO,,<auto>,1642598962952,,2000403826,3-char ICD9fi,Condition,1970-01-01,2099-12-31,451-459,,full_match,THROMBOSIS VENAE PORTAE,,
5989X,"Urethral stricture, unspecified",52,195590,0.59,APPROVED,EQUIVALENT,Javier,1642756805650,195590,Urethral stricture,Condition,MAPS_TO,,<auto>,1642598963828,,2000404708,5-char ICD9fi,Condition,1970-01-01,2099-12-31,598,,unique_parent_match,STRICTURA URETHRAE NUD,,
4112C,"Other acute and subacute forms of ischaemic heart disease[SYDÄNPYSÄHDYS ILMAN INFARKTIA,TROMBI]",0,4185932,0.37,APPROVED,NARROWER,Javier,1642756721361,4185932,Ischemic heart disease,Condition,MAPS_TO,,<auto>,1642598963848,,2000403586,5-char ICD9fi,Condition,1970-01-01,2099-12-31,411,,grandparent_match,"SYDÄNPYSÄHDYS ILMAN INFARKTIA,TROMBI",,2025-06-30 | conceptName changed from Subacute ischemic heart disease to Ischemic heart disease
7483X,"Congenital anomalies of respiratory system, Other anomalies of larynx, trachea and bronchus[MALEFORMATIONES LARYNGIS, TRACHEAE ET BRONCHI ALIAE]",0,4173657,0.55,APPROVED,NARROWER,Javier,1642756738661,4173657,Congenital malformation of the respiratory system,Condition,MAPS_TO,,<auto>,1642598963969,,2000406394,5-char ICD9fi,Condition,1970-01-01,2099-12-31,748,,parent_match,"MALEFORMATIONES LARYNGIS, TRACHEAE ET BRONCHI ALIAE",,"2025-06-30 | conceptName changed from Congenital stenosis of larynx, trachea and bronchus to Congenital malformation of the respiratory system"
4520A,Portal vein thrombosis[THROMBOSIS VENAE PORTAE],0,199837,0.64,APPROVED,NARROWER,Javier,1642756721361,199837,Portal vein thrombosis,Condition,MAPS_TO,,<auto>,1642598965141,,2000403827,5-char ICD9fi,Condition,1970-01-01,2099-12-31,452,,grandparent_match,THROMBOSIS VENAE PORTAE,,
7091A,"Other disorders of skin and subcutaneous tissue, Vascular disorders of skin",0,316501,0.76,APPROVED,EQUIVALENT,Javier,1642756805650,316501,Vascular disease of the skin,Condition,MAPS_TO,,<auto>,1642598965199,,2000405680,5-char ICD9fi,Condition,1970-01-01,2099-12-31,709,,unique_parent_match,ANGIOMA SERPIGINOSUM,,2025-06-30 | conceptName changed from Disorder of skin and/or subcutaneous tissue to Vascular disease of the skin
1605A,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses, Sphenoidal sinus",0,136639,0.93,APPROVED,EQUIVALENT,Javier,1642756805650,136639,Primary malignant neoplasm of sphenoidal sinus,Condition,MAPS_TO,,<auto>,1642598966357,,2000401242,5-char ICD9fi,Condition,1970-01-01,2099-12-31,160,,unique_parent_match,NEOPLASMA MALIGNUM SINUS SPHENOIDALIS,,"2025-06-30 | conceptName changed from Malignant neoplasm of nasal cavities, middle ear and accessory sinuses to Primary malignant neoplasm of sphenoidal sinus"
599,Other disorders of urethra and urinary tract,0,81902,0.66,APPROVED,EQUAL,Javier,1642756146926,81902,Urinary tract infectious disease,Condition,MAPS_TO,,<auto>,1642598966774,,2000404709,3-char ICD9fi,Condition,1970-01-01,2099-12-31,590-599,,full_match,MORBI ALII URETHRAE ET VIARUM URINARIUM,,2025-06-30 | conceptName changed from Disorder of urinary tract to Urinary tract infectious disease
453,Other venous embolism and thrombosis,0,4234997,0.69,APPROVED,EQUAL,Javier,1642756146926,4234997,Disorder of vein,Condition,MAPS_TO,,<auto>,1642598966858,,2000403828,3-char ICD9fi,Condition,1970-01-01,2099-12-31,451-459,,full_match,ALIA EMBOLIA ET THROMBOSIS VENARUM,,2025-06-30 | conceptName changed from Venous embolism to Disorder of vein
2114D,"Benign neoplasm of other parts of digestive system, Rectum and anal canal[ADENOMA ALIUD RECTI ET CANALIS ANALIS]",0,434303,0.49,APPROVED,NARROWER,Javier,1642756738661,434303,Benign neoplasm of rectum and anal canal,Condition,MAPS_TO,,<auto>,1642598967518,,2000401900,5-char ICD9fi,Condition,1970-01-01,2099-12-31,211,,parent_match,ADENOMA ALIUD RECTI ET CANALIS ANALIS,,
4112D,"Other acute and subacute forms of ischaemic heart disease[SYDÄNPYSÄHDYS ILMAN INFARKTIA,EMBOLUS]",0,4185932,0.37,APPROVED,NARROWER,Javier,1642756721361,4185932,Ischemic heart disease,Condition,MAPS_TO,,<auto>,1642598967559,,2000403587,5-char ICD9fi,Condition,1970-01-01,2099-12-31,411,,grandparent_match,"SYDÄNPYSÄHDYS ILMAN INFARKTIA,EMBOLUS",,2025-06-30 | conceptName changed from Subacute ischemic heart disease to Ischemic heart disease
7484A,"Congenital anomalies of respiratory system, Congenital cystic lung",0,261393,0.61,APPROVED,EQUIVALENT,Javier,1642756805650,261393,Congenital cystic lung,Condition,MAPS_TO,,<auto>,1642598967954,,2000406395,5-char ICD9fi,Condition,1970-01-01,2099-12-31,748,,unique_parent_match,PULMO CYSTICUS,,2025-06-30 | conceptName changed from Congenital malformation of the respiratory system to Congenital cystic lung
4530A,"Other venous embolism and thrombosis, Budd-Chiari syndrome",0,196715,0.7,APPROVED,EQUIVALENT,Javier,1642756805650,196715,Budd-Chiari syndrome,Condition,MAPS_TO,,<auto>,1642598969207,,2000403829,5-char ICD9fi,Condition,1970-01-01,2099-12-31,453,,unique_parent_match,THROMBOSIS VENAE HEPATICAE (SYNDROMA BUDD-CHIARI),,
7092A,"Other disorders of skin and subcutaneous tissue, Scar conditions and fibrosis of skin",48,136497,0.69,APPROVED,EQUIVALENT,Javier,1642756805650,136497,Scar conditions and fibrosis of skin,Condition,MAPS_TO,,<auto>,1642598969858,,2000405681,5-char ICD9fi,Condition,1970-01-01,2099-12-31,709,,unique_parent_match,CICATRIX ET FIBROSIS CUTIS NUD,,2025-06-30 | conceptName changed from Disorder of skin and/or subcutaneous tissue to Scar conditions and fibrosis of skin
1608X,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses, Other",0,259748,0.97,APPROVED,EQUIVALENT,Javier,1642756805650,259748,Primary malignant neoplasm of accessory sinus,Condition,MAPS_TO,,<auto>,1642598970449,,2000401243,5-char ICD9fi,Condition,1970-01-01,2099-12-31,160,,unique_parent_match,NEOPLASMA MALIGNUM SINUS ALIA DEFINITA,,"2025-06-30 | conceptName changed from Malignant neoplasm of nasal cavities, middle ear and accessory sinuses to Primary malignant neoplasm of accessory sinus"
4112E,"Other acute and subacute forms of ischaemic heart disease[SYDÄNPYSÄHDYS ILMAN INFARKTIA,MUU TUKOS]",0,4185932,0.36,APPROVED,NARROWER,Javier,1642756721361,4185932,Ischemic heart disease,Condition,MAPS_TO,,<auto>,1642598971721,,2000403588,5-char ICD9fi,Condition,1970-01-01,2099-12-31,411,,grandparent_match,"SYDÄNPYSÄHDYS ILMAN INFARKTIA,MUU TUKOS",,2025-06-30 | conceptName changed from Subacute ischemic heart disease to Ischemic heart disease
5990A,"Other disorders of urethra and urinary tract, Urinary tract infection, site not specified[BACTERIURIA ASYMPTOMATICA]",30,81902,0.45,APPROVED,NARROWER,Javier,1642756738661,81902,Urinary tract infectious disease,Condition,MAPS_TO,,<auto>,1642598972349,,2000404710,5-char ICD9fi,Condition,1970-01-01,2099-12-31,599,,parent_match,BACTERIURIA ASYMPTOMATICA,,2025-06-30 | conceptName changed from Symptomatic disorders of the urinary tract to Urinary tract infectious disease
